Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Denali Stud, Agent for WinStar Farm Bred & Raised ","","Patch Adams","","B",Colt,"Patch Adams","Into Mischief","Well Humored","","","","","Out",0
1,0002,"Lane's End, Agent ","","Uncle Mo --- West Coast Chick","","B",Filly,"","Uncle Mo","West Coast Chick","","","","","Scott & Evan Dilworth",280000
1,0003,"St George Sales, Agent X ","","Momissioner","","B",Colt,"Momissioner","Uncle Mo","Westside Singer","","","","","L&N Racing, LLC & Walking L Thoroughbreds",400000
1,0004,"Paramount Sales, Agent LXV ","","Justify --- Whisper Wisdom","","DB/BR",Colt,"","Justify","Whisper Wisdom","","","","","Hartley/De Renzo Thoroughbreds",275000
1,0005,"Taylor Made Sales Agency, Agent XI ","","Salt","","GR/RO",Filly,"Salt","Tapit","Wholelottashakin","","","","","R.N.A. (285,000)",---
1,0006,"Glennwood Farm Inc., Agent ","","Divine Rose","","B",Filly,"Divine Rose","Good Magic","Wildwood Rose (IRE)","","","","","Out",0
1,0007,"Hinkle Farms ","","Inaclassofmyown","","B",Colt,"Inaclassofmyown","Into Mischief","Win the War","","","","","Douglas Scharbauer",700000
1,0008,"Stonehaven Steadings ","","Authentic --- Wise Strike","","CH",Colt,"","Authentic","Wise Strike","","","","","R.N.A. (375,000)",---
1,0009,"Taylor Made Sales Agency, Agent CXXVII ","","War Front --- Wrong Color","","B",Colt,"","War Front","Wrong Color","","","","","Out",0
1,0010,"Claiborne Farm, Agent ","","Perfect Magic","","B",Colt,"Perfect Magic","Maclean's Music","You Asked","","","","","Mike McCarty",300000
1,0011,"ELiTE, Agent for WinStar Farm Bred & Raised ","","Abundance","","B",Colt,"Abundance","More Than Ready","Abounding Joy","","","","","Out",0
1,0012,"Beau Lane Bloodstock, Gail Lane and Mike & J.B. Orem ","","Game Winner --- Abraqat","","DB/BR",Colt,"","Game Winner","Abraqat","","","","","Whitehorse Stables & Madaket Stables LLC",385000
1,0013,"Four Star Sales, Agent ","","You'll Be Back","","B",Filly,"You'll Be Back","Practical Joke","Advance Party","","","","","Greg Tramontin",575000
1,0014,"Clearsky Farms, Agent I ","","Asbury","","CH",Colt,"Asbury","Munnings","African Jade","","","","","CHC Inc., Maverick Racing, & Siena Farm",350000
1,0015,"Betz Thoroughbreds, Inc., Agent ","","Ann's Girl","","CH",Filly,"Ann's Girl","Gun Runner","Allwewantforxmas","","","","","West Point, LEB, Agent",325000
1,0016,"Glennwood Farm Inc., Agent ","","Into Mischief --- Always On My Mind","","B",Filly,"","Into Mischief","Always On My Mind","","","","","R.N.A. (335,000)",---
1,0017,"Stone Farm, Agent ","","Uncle Mo --- America","","B",Colt,"","Uncle Mo","America","","","","","Out",0
1,0018,"Gainesway, Agent XL ","","Into Mischief --- American Gal","","B",Colt,"","Into Mischief","American Gal","","","","","Grandview Equine",1100000
1,0019,"Hill 'n' Dale at Xalapa, Agent ","","Into Mischief --- American Story","","B",Filly,"","Into Mischief","American Story","","","","","Nice Guys Stables",575000
1,0020,"Taylor Made Sales Agency, Agent CLXII ","","Ghanaayem","","B    ",Filly,"Ghanaayem","Uncle Mo","Angela Renee","","","","","Shadwell Racing, LLC",750000
1,0021,"Beau Lane Bloodstock and J.B. Orem ","","Twirling Candy --- Angry Ocean","","DB/BR",Filly,"","Twirling Candy","Angry Ocean","","","","","Out",0
1,0022,"Paramount Sales, Agent XXX ","","Sugared","","DB/BR",Filly,"Sugared","McKinzie","A. P. Candy","","","","","Out",0
1,0023,"Gainesway, Agent XXX ","","Into Mischief --- Arrifana","","B",Colt,"","Into Mischief","Arrifana","","","","","Out",0
1,0024,"Machmer Hall Sales, Agent for Machmer Hall ","","Authentic --- Astray","","B",Colt,"","Authentic","Astray","","","","","De Meric Sales",150000
1,0025,"Four Star Sales, Agent for Westbury Stables ","","No Nay Never --- At Ease (GB)","","DB/BR",Colt,"","No Nay Never","At Ease (GB)","","","","","Avaz Ismoilov",100000
1,0026,"Lane's End, Agent ","","Cinister Cix","","B",Colt,"Cinister Cix","Curlin","Auntjenn","","","","","Out",0
1,0027,"Blandford Stud (Padraig Campion), Agent ","","Medaglia d'Oro --- Averymerrymoment","","DB/BR",Colt,"","Medaglia d'Oro","Averymerrymoment","","","","","R.N.A. (395,000)",---
1,0028,"Taylor Made Sales Agency, Agent CX ","","Not This Time --- Bachelors Walk","","DB/BR",Colt,"","Not This Time","Bachelors Walk","","","","","Mike Ryan, Agent",200000
1,0029,"Gainesway, Agent VI ","","Uncle Mo --- Bambalina","","B",Colt,"","Uncle Mo","Bambalina","","","","","Out",0
1,0030,"ELiTE, Agent for Spendthrift Farm LLC ","","Into Mischief --- Bast","","DB/BR",Colt,"","Into Mischief","Bast","","","","","R.N.A. (235,000)",---
1,0031,"Airdrie Stud Raised and Offered ","","Nyquist --- Believe You Can","","B    ",Filly,"","Nyquist","Believe You Can","","","","","Lanigan/ Durcan, Agent for Cindy Heider ",750000
1,0032,"Lane's End, Agent ","","Authentic --- Bella Aurora","","B",Filly,"","Authentic","Bella Aurora","","","","","Spendthrift Farm LLC",300000
1,0033,"Hunter Valley Farm, Agent ","","American Pharoah --- Belle Hill","","DB/BR",Colt,"","American Pharoah","Belle Hill","","","","","BC Stables LLC",350000
1,0034,"Taylor Made Sales Agency, Agent CXIV ","","McKinzie --- Belle's Finale","","B",Colt,"","McKinzie","Belle's Finale","","","","","R.N.A. (170,000)",---
1,0035,"Lane's End, Agent ","","Nyquist --- Belvoir Bay (GB)","","CH",Colt,"","Nyquist","Belvoir Bay (GB)","","","","","Grandview Equine",400000
1,0036,"Beau Lane Bloodstock ","","Maclean's Music --- Berncredit","","B",Colt,"","Maclean's Music","Berncredit","","","","","Brownsboro Stables",140000
1,0037,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II ","","Blameitonbourbon","","B",Colt,"Blameitonbourbon","Authentic","Beyond Blame","","","","","Out",0
1,0038,"Taylor Made Sales Agency, Agent CXVI ","","Gun Runner --- Bling On the Music","","B",Filly,"","Gun Runner","Bling On the Music","","","","","Out",0
1,0039,"Four Star Sales, Agent ","","Brienne of Skye","","DB/BR",Filly,"Brienne of Skye","More Than Ready","Bold Breanna","","","","","Out",0
1,0040,"Four Star Sales, Agent for Spendthrift Farm LLC ","","Into Mischief --- Bonita Mia","","B",Colt,"","Into Mischief","Bonita Mia","","","","","Yoshizawa Stable Co., Ltd.",500000
1,0041,"Terrazas Thoroughbreds, Agent for Corser Thoroughbreds, LLC ","","Cromwell","","B",Colt,"Cromwell","Quality Road","Borealis Night","","","","","Belladonna Racing VI, Cherie DeVaux, Agent",500000
1,0042,"Claiborne Farm, Agent ","","Draft Riots","","B    ",Colt,"Draft Riots","War Front","Boxer Rebellion","","","","","White Birch Farm, Inc.",180000
1,0043,"Denali Stud, Agent for Bridlewood Farm ","","Authentic --- Bridlewood Cat","","B",Colt,"","Authentic","Bridlewood Cat","","","","","Out",0
1,0044,"Machmer Hall Sales, Agent for Machmer Hall ","","Candy Ride (ARG) --- Broadway Show","","B",Filly,"","Candy Ride (ARG)","Broadway Show","","","","","Mayberry Farm",450000
1,0045,"KatieRich Farms ","","Forbidden Nectar","","DB/BR",Filly,"Forbidden Nectar","Uncle Mo","Browse","","","","","Gavin O'Connor, Agent for John Stewart",350000
1,0046,"Taylor Made Sales Agency, Agent CXVI ","","Authentic --- Brushwork","","CH",Colt,"","Authentic","Brushwork","","","","","R.N.A. (475,000)",---
1,0047,"Paramount Sales, Agent X ","","American Pharoah --- Bubble Pop","","CH",Filly,"","American Pharoah","Bubble Pop","","","","","Lindy Farms",80000
1,0048,"Machmer Hall Sales, Agent for WinStar Farm Bred & Raised ","","Showcase","","GR/RO",Colt,"Showcase","Uncle Mo","Buy Sell Hold","","","","","Roy McAvoy",300000
1,0049,"Taylor Made Sales Agency, Agent CXXXIII ","","Oh Monaco","","CH",Colt,"Oh Monaco","Curlin","Byrama (GB)","","","","","Gavin O'Connor, Agent for John Stewart",650000
1,0050,"Burleson Farms, Agent ","","Authentic --- Cajun Delta Dawn","","DB/BR",Filly,"","Authentic","Cajun Delta Dawn","","","","","Klaravich Stable",410000
1,0051,"Stonehaven Steadings ","","Brisa Veloz","","CH",Filly,"Brisa Veloz","Munnings","Canny","","","","","Mike Ryan, Agent",450000
1,0052,"Gainesway, Agent XXX ","","Speightstown --- Cap de Creus","","B",Filly,"","Speightstown","Cap de Creus","","","","","Out",0
1,0053,"Gainesway, Agent XX ","","Traviesa","","CH",Filly,"Traviesa","Speightstown","Caper","","","","","Steven W. Young, Agent",650000
1,0054,"Hunter Valley Farm, Agent ","","No Nay Never --- Caponata","","B",Filly,"","No Nay Never","Caponata","","","","","Avenue Bloodstock, Ltd.",325000
1,0055,"Taylor Made Sales Agency, Agent CLXX ","","Authentic --- Cassies Dreamer","","B",Colt,"","Authentic","Cassies Dreamer","","","","","Out",0
1,0056,"Buck Pond Farm (Douglas S. Arnold), Agent ","","Roaring Justice","","CH",Colt,"Roaring Justice","Constitution","Cat Fight","","","","","BBN Racing VI",220000
1,0057,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Champagne Justice","","GR/RO",Colt,"Champagne Justice","Justify","Champagne Royale","","","","","R.N.A. (325,000)",---
1,0058,"Stone Farm ","","Prayer","","DB/BR",Colt,"Prayer","Quality Road","Chapel","","","","","R.N.A. (475,000)",---
1,0059,"Terrazas Thoroughbreds, Agent for Corser Thoroughbreds, LLC ","","Candy Ride (ARG) --- Charge Back","","B",Filly,"","Candy Ride (ARG)","Charge Back","","","","","R.N.A. (225,000)",---
1,0060,"Lane's End, Agent ","","Into Mischief --- Chasing Yesterday","","B",Colt,"","Into Mischief","Chasing Yesterday","","","","","Out",0
1,0061,"Stone Farm ","","Antietam","","DB/BR",Colt,"Antietam","Curlin","Chatham","","","","","Steven W. Young, Agent",450000
